Kompania,Cmimi minimal,Cmimi mesatar,Cmimi maksimal
Aztech,349,601.09,899
Buton,369,474.83,799
Gama,389,975.36,2099
Gjirafa,449.5,1474.02,2733.6
Gorenje,379.9,585.61,699.9
Interplast,399.99,581.11,949.99
Neptun,349,795.84,1699
