Kompania,Cmimi minimal,Cmimi mesatar,Cmimi maksimal
Aztech,279.9,394.41,599
Buton,199,275,369
Gama,249,344,439
Gjirafa,276.68,517.25,1091.81
Gorenje,299.9,349.89,399.9
Interplast,199.99,335.59,449.99
Neptun,209,348,449
