Kompania,Cmimi minimal,Cmimi Maksimal,Cmimi mesatar
Aztech,129,249,174.45
Gama,149,149,149
Gjirafa,207.46,260.57,236.4
Gorenje,139.9,199.9,173.2
Interplast,159,239.99,199.3
Neptun,119,249,187
