Kompania,Cmimi minimal,Cmimi mesatar,Cmimi maksimal
Aztech,269,445.77,599.9
Buton,329,329,329
Gama,309,594,879
Gjirafa,299.25,519.76,838.01
Gorenje,399.9,487.4,649.9
Interplast,339,417.59,569.99
Neptun,299,474.26,729
