Kompania,Cmimi minimal,Cmimi mesatar,Cmimi maksimal
Aztech,599,1447.38,4999
Buton,1399,1399,1399
Gama,839,1770.66,4199
Gjirafa,668.64,1641.75,3254.5
Gorenje,589.9,913.23,1199.9
Interplast,749.99,986.99,1199
Neptun,549,1387.96,4499
