Kompania,Cmimi minimal,Cmimi mesatar,Cmimi maksimal
Aztech,999,1199,1299
Gama,1359,2252.33,3099
Gjirafa,1289.76,2263.08,3584.16
Interplast,999.99,999.99,999.99
Neptun,1079,1874.55,2999
